symbol,marketcapname,market_cap,industry,sector
WEBELSOLAR,smallcap,4622.54,electric equipment,industrials
CARERATING,smallcap,4921.7,miscellaneous,financials
VITAL,smallcap,119.83,chemicals,chemicals
PAVNAIND,smallcap,233.99,auto ancillaries,auto
DAVANGERE,smallcap,527.67,sugar,fmcg
REPCOHOME,smallcap,2338.54,finance - housing,financials
TASTYBITE,smallcap,1942.33,food - processing - indian,fmcg
LXCHEM,smallcap,4175.79,chemicals,chemicals
NAHARINDUS,smallcap,528.02,textiles - cotton/blended,textiles
ADFFOODS,smallcap,3000.92,food - processing - indian,fmcg
SURYODAY,smallcap,1795.45,banks - private sector,bank
SANWARIA,smallcap,17.67,food - processing - indian,fmcg
UFBL,smallcap,1904.29,hotels,consumer discretionary
ESSENTIA,smallcap,184.71,trading,services
TIGERLOGS,smallcap,349.1,miscellaneous,transportation
FLFL,smallcap,28.25,trading,consumer discretionary
PIRAMALFIN,smallcap,0,indices,n/a
OMAXAUTO,smallcap,522.51,auto ancillaries,auto
JTEKTINDIA,smallcap,3482.44,auto ancillaries,auto
AGRITECH,smallcap,64.66,miscellaneous,fmcg
ENERGY,smallcap,0,indices,indices
IPL,smallcap,1818.09,pesticides / agrochemicals - indian,chemicals
EUROTEXIND,smallcap,13.13,textiles - cotton/blended,textiles
CAPILLARY,smallcap,4055.73,computers - software - medium / small,i.t
SOMATEX,smallcap,349.98,trading,textiles
ROLEXRINGS,smallcap,3828.46,castings & forgings,industrials
ZODIACLOTH,smallcap,207.47,textiles - products,consumer discretionary
INCREDIBLE,smallcap,162.64,steel - medium / small,metals & mining
MONEYBOXX,smallcap,501.51,finance & investments,financials
BATLIBOI,smallcap,370.56,engineering,industrials
YUKEN,smallcap,921.95,engineering,industrials
FRONTSP,smallcap,1808.37,auto ancillaries,auto
HLEGLAS,smallcap,2511.83,engineering,industrials
RAMRAT,smallcap,3695.69,mining / minerals / metals,metals & mining
WEIZMANIND,smallcap,124.62,textiles - processing,textiles
SIGACHI,smallcap,836.07,pharmaceuticals - indian - bulk drugs & formln,healthcare
EIHAHOTELS,smallcap,1822,hotels,services
GKSL,smallcap,1058.47,healthcare,healthcare
TARSONS,smallcap,1104.24,miscellaneous,healthcare
GOCOLORS,smallcap,1767.49,textiles - products,textiles
PEARLPOLY,smallcap,31.3,trading,plastic products
BLAL,smallcap,774.09,construction,realty
SUPERHOUSE,smallcap,166.58,leather / leather products,consumer discretionary
NILKAMAL,smallcap,1932.17,plastics products,plastic products
SHRIRAMPPS,smallcap,1511.49,construction,realty
BOSCH-HCIL,smallcap,3793.67,air-conditioners,consumer discretionary
MONTECARLO,smallcap,1133.84,textiles - products,textiles
TNTELE,smallcap,43.21,cables - telephone,industrials
HPAL,smallcap,329.83,chemicals,chemicals
DREDGECORP,smallcap,3425.24,miscellaneous,miscellaneous
DTIL,smallcap,139.02,tea,fmcg
GHCLTEXTIL,smallcap,928.81,textiles - spinning - synthetic / blended,textiles
APCOTEXIND,smallcap,2561.66,miscellaneous,chemicals
MKPL,smallcap,0,indices,n/a
SAYAJIHOTL,smallcap,523.79,hotels,services
INFRA,smallcap,0,indices,indices
GENUSPAPER,smallcap,320.64,paper,building materials
GUJRAFFIA,smallcap,23.07,packaging,industrials
CYIENTDLM,smallcap,3681.71,electronics - components,consumer discretionary
PNGSREVA,smallcap,1192.65,trading,consumer discretionary
SBIMIDMOM,smallcap,0,indices,indices
AGIIL,smallcap,4769.9,construction,realty
BANK10ADD,smallcap,0,indices,indices
VINYLINDIA,smallcap,461.45,trading,chemicals
MANAKCOAT,smallcap,1106.28,steel - medium / small,metals & mining
INNOVISION,smallcap,711.3,miscellaneous,miscellaneous
STEL,smallcap,895.83,finance & investments,financials
VALUE,smallcap,0,indices,indices
ABMINTLLTD,smallcap,43.05,trading,services
JAYAGROGN,smallcap,706.89,chemicals,chemicals
AARTIDRUGS,smallcap,3475.56,pharmaceuticals - indian - bulk drugs,healthcare
JMA,smallcap,201,auto ancillaries,auto
AMIRCHAND,smallcap,1262.71,food - processing - indian,fmcg
PML,smallcap,160.32,finance & investments,financials
SANCO,smallcap,3.86,plastics products,plastic products
VIMTALABS,smallcap,2098.12,miscellaneous,healthcare
GULPOLY,smallcap,0,indices,n/a
MOBANK10,smallcap,0,indices,indices
KREBSBIO,smallcap,139.91,pharmaceuticals - indian - bulk drugs,healthcare
UFO,smallcap,287.66,entertainment / electronic media software,media
SUKHJITS,smallcap,548.71,miscellaneous,fmcg
AKSHARCHEM,smallcap,153.43,dyes and pigments,chemicals
RADIOCITY,smallcap,210.87,entertainment / electronic media software,media
SATIA,smallcap,559.9,paper,building materials
SCHAND,smallcap,544.21,printing & stationery,miscellaneous
CLEDUCATE,smallcap,251.98,miscellaneous,services
NATCAPSUQ,smallcap,164.8,pharmaceuticals - indian - bulk drugs & formln,healthcare
HESTERBIO,smallcap,1714.47,pharmaceuticals - indian - formulations,healthcare
SPORTKING,smallcap,2422.5,textiles - spinning - synthetic / blended,textiles
RISHABH,smallcap,1992.06,electric equipment,industrials
BALKRISHNA,smallcap,58.67,trading,services
FERMENTA,smallcap,0,indices,n/a
HIKAL,smallcap,2360.22,pharmaceuticals - indian - bulk drugs,healthcare
KAYA,smallcap,351.88,miscellaneous,healthcare
SMLT,smallcap,100.09,steel - medium / small,metals & mining
PANAMAPET,smallcap,1908.88,petrochemicals,energy
JITFINFRA,smallcap,821.49,miscellaneous,miscellaneous
OSWALGREEN,smallcap,618.14,diversified - medium / small,miscellaneous
MAGADSUGAR,smallcap,634.55,sugar,fmcg
LASA,smallcap,38.48,pharmaceuticals - indian - bulk drugs & formln,healthcare
SHREEPUSHK,smallcap,1174.83,dyes and pigments,chemicals
SADBHIN,smallcap,101.44,construction,realty
FILATEX,smallcap,2053.33,textiles - manmade,textiles
PREMEXPLN,smallcap,3504.42,chemicals,aerospace & defence
JETFREIGHT,smallcap,101.58,transport - airlines,transportation
EIFFL,smallcap,570.5,food - processing - indian,fmcg
ORIENTLTD,smallcap,61.48,packaging,industrials
MALLCOM,smallcap,607.15,textiles - products,textiles
ALPHAGEO,smallcap,134.79,miscellaneous,miscellaneous
SATIN,smallcap,2553.2,finance & investments,financials
KRITI,smallcap,393.22,plastics products,plastic products
TRU,smallcap,70.6,finance & investments,financials
AIRAN,smallcap,211.91,computers - software - medium / small,i.t
DEVIT,smallcap,162.72,computers - software - medium / small,i.t
SYSTMTXC,smallcap,883.95,finance & investments,financials
SHRENIK,smallcap,22.64,trading,building materials
SERVOTECH,smallcap,2279.01,electric equipment,industrials
ELECTHERM,smallcap,1310.34,steel - medium / small,metals & mining
GANDHAR,smallcap,1524.87,refineries,energy
SHANTI,smallcap,7.23,food - processing - indian,fmcg
LUXIND,smallcap,4308.37,textiles - composite,textiles
TFCILTD,smallcap,3495.48,finance - term-lending institutions,financials
BIL,smallcap,980.37,leather / leather products,consumer discretionary
WORTHPERI,smallcap,203.05,packaging,industrials
BAJEL,smallcap,2244.64,engineering - turnkey services,realty
DIAMONDYD,smallcap,2598.55,food - processing - indian,fmcg
GOLDIAM,smallcap,4792.8,diamond cutting / jewellery,consumer discretionary
DPWIRES,smallcap,284.9,steel - medium / small,metals & mining
GREENPLY,smallcap,3204.86,miscellaneous,building materials
TEAMLEASE,smallcap,2316.96,miscellaneous,miscellaneous
TIRUPATIFL,smallcap,582,castings & forgings,industrials
BETA,smallcap,1429.49,pharmaceuticals - indian - bulk drugs,healthcare
ELCIDIN,smallcap,2359,finance & investments,financials
SCPL,smallcap,479.01,food - processing - indian,fmcg
DOLLAR,smallcap,1476.04,textiles - products,consumer discretionary
MOTISONS,smallcap,1145.01,diamond cutting / jewellery,consumer discretionary
MUFTI,smallcap,582.06,trading,consumer discretionary
CCAVENUE,smallcap,4835.55,miscellaneous,i.t
SILVERTUC,smallcap,2217.02,computers - software - medium / small,i.t
DIGIDRIVE,smallcap,73.04,trading,i.t
SHRADHA,smallcap,287.06,construction,realty
THEINVEST,smallcap,516.78,finance & investments,financials
AJOONI,smallcap,69.07,food - processing - indian,fmcg
ONEPOINT,smallcap,1545.54,computers - software - medium / small,i.t
SILLYMONKS,smallcap,23.53,entertainment / electronic media software,media
ANTELOPUS,smallcap,3003.57,oil drilling / allied services,energy
DIGJAMLMTD,smallcap,89.76,textiles - products,textiles
ADVENZYMES,smallcap,4388.65,pharmaceuticals - indian - bulk drugs & formln,healthcare
CAPITALSFB,smallcap,1220.4,banks - private sector,bank
SARVESHWAR,smallcap,456.93,food - processing - indian,fmcg
SPAL,smallcap,2028.96,textiles - products,textiles
TARACHAND,smallcap,474.84,diversified - medium / small,miscellaneous
SANDHAR,smallcap,4196.2,auto ancillaries,auto
PREMCO,smallcap,122.41,textiles - products,textiles
MMP,smallcap,681.3,aluminium and aluminium products,metals & mining
HPL,smallcap,2213.54,electric equipment,industrials
UGARSUGAR,smallcap,452.03,sugar,fmcg
NARMADA,smallcap,138.62,miscellaneous,fmcg
NILAINFRA,smallcap,311.17,construction,realty
CHEMFAB,smallcap,583.43,chemicals,chemicals
BSHSL,smallcap,1021.04,miscellaneous,fmcg
TINNARUBR,smallcap,1494.5,miscellaneous,fmcg
PVSL,smallcap,703.58,trading,consumer discretionary
AMBALALSA,smallcap,285.84,trading,healthcare
SIRCA,smallcap,2387.29,trading,building materials
TCIEXP,smallcap,1903.08,miscellaneous,transportation
PARACABLES,smallcap,2011.33,cables - power,industrials
UYFINCORP,smallcap,282.31,finance & investments,financials
BAJAJELEC,smallcap,3610.58,domestic appliances,consumer discretionary
KRYSTAL,smallcap,814.91,miscellaneous,miscellaneous
EASTSILK,smallcap,27.01,textiles - silk,textiles
SOLARA,smallcap,2616.08,pharmaceuticals - indian - bulk drugs & formln,healthcare
SPIC,smallcap,1280.5,fertilizers,chemicals
BEPL,smallcap,2382.57,petrochemicals,energy
GANGAFORGE,smallcap,31.68,castings & forgings,industrials
KAVDEFENCE,smallcap,369.1,telecommunications - equipment,aerospace & defence
BIRLACABLE,smallcap,641.34,cables - telephone,industrials
SALONA,smallcap,153.61,textiles - cotton/blended,textiles
BPL,smallcap,258.84,electronics - components,consumer discretionary
IMPAL,smallcap,1306.91,auto ancillaries,auto
MAITHANALL,smallcap,3058.75,mining / minerals / metals,metals & mining
ACSTECH,smallcap,197.23,computers - software - medium / small,i.t
DANGEE,smallcap,49.89,food - processing - indian,fmcg
SUMIT,smallcap,212.78,construction,realty
SGIL,smallcap,919.99,castings & forgings,industrials
AHLADA,smallcap,53.23,steel - medium / small,metals & mining
BHAGERIA,smallcap,676.14,dyes and pigments,chemicals
ELECTCAST,smallcap,4705.62,castings & forgings,industrials
GRADIENTE,smallcap,113.02,entertainment / electronic media software,media
ESTER,smallcap,974.01,packaging,industrials
FOSECOIND,smallcap,3788.53,chemicals,chemicals
METROGLOBL,smallcap,161.4,trading,services
VINNY,smallcap,50.25,textiles - processing,textiles
BBTCL,smallcap,428.95,packaging,industrials
REMSONSIND,smallcap,310.6,auto ancillaries,auto
HCL-INSYS,smallcap,443.78,computers - hardware,i.t
HLVLTD,smallcap,520.16,hotels,services
SUNDROP,smallcap,2466.32,food - processing - indian,fmcg
JINDALPOLY,smallcap,2868.67,textiles - products,textiles
KAKATCEM,smallcap,97.29,cement - south india,building materials
LYKALABS,smallcap,206.75,pharmaceuticals - indian - bulk drugs & formln,healthcare
NIITLTD,smallcap,1221.86,computers - education,i.t
SHILCTECH,smallcap,4641.52,electric equipment,industrials
VRAJ,smallcap,414.69,steel - sponge iron,metals & mining
OILCOUNTUB,smallcap,283.29,steel - medium / small,metals & mining
BANSALWIRE,smallcap,4844.62,steel - medium / small,metals & mining
RAJSREESUG,smallcap,114.55,sugar,fmcg
RUBFILA,smallcap,423.34,miscellaneous,fmcg
SANSTAR,smallcap,2109.84,miscellaneous,fmcg
TOKYOPLAST,smallcap,81.85,plastics products,plastic products
WSTCSTPAPR,smallcap,3439.5,paper,building materials
UNIECOM,smallcap,984.22,computers - software - medium / small,i.t
UCAL,smallcap,217.95,auto ancillaries,auto
BYKE,smallcap,188.94,hotels,services
TREJHARA,smallcap,348.15,computers - software - medium / small,i.t
GLOBALE,smallcap,14.4,textiles - products,textiles
PREMIER,smallcap,8.9,engineering,industrials
RPSGVENT,smallcap,3037.33,computers - software - medium / small,i.t
TNPETRO,smallcap,792.29,petrochemicals,energy
STYLEBAAZA,smallcap,2487.52,trading,consumer discretionary
MADHUCON,smallcap,39.48,construction,realty
CENTRUM,smallcap,1074.92,finance & investments,financials
AEPL,smallcap,407.68,electric equipment,industrials
DECCANCE,smallcap,866.99,cement - south india,building materials
NCLIND,smallcap,839.84,cement - south india,building materials
SBC,smallcap,1752.86,textiles - products,textiles
DCMNVL,smallcap,289.51,textiles - cotton/blended,textiles
ROLLT,smallcap,53.53,packaging,industrials
SURAJLTD,smallcap,422.69,steel - medium / small,metals & mining
PENINLAND,smallcap,544.7,construction,realty
MUFIN,smallcap,2427.49,finance & investments,financials
GENSOL,smallcap,79.93,engineering - turnkey services,realty
GREENPANEL,smallcap,2325.51,miscellaneous,building materials
PRAENG,smallcap,149.94,diversified - medium / small,miscellaneous
GODAVARIB,smallcap,1407.34,sugar,fmcg
DELTAMAGNT,smallcap,67.77,textiles - products,textiles
PRINCEPIPE,smallcap,3015.55,plastics products,plastic products
ZENITHSTL,smallcap,83.95,steel - medium / small,metals & mining
INDIANHUME,smallcap,1614.17,construction,realty
AUTOAXLES,smallcap,2647.92,auto ancillaries,auto
BLUECHIP,smallcap,13.11,finance & investments,financials
SURAKSHA,smallcap,1511.64,healthcare,healthcare
TIL,smallcap,1440.13,engineering,industrials
ODIGMA,smallcap,66.3,computers - software - medium / small,i.t
GMMPFAUDLR,smallcap,3492.73,engineering,industrials
TEXINFRA,smallcap,1223.55,construction,realty
KSOLVES,smallcap,679.47,computers - software - medium / small,i.t
BIMETAL,smallcap,249.28,bearings,industrials
MANCREDIT,smallcap,435.64,finance & investments,financials
ADVAIT,smallcap,2157.17,cables - power,industrials
ADROITINFO,smallcap,51.71,computers - software - medium / small,i.t
ATAM,smallcap,80.58,engineering,industrials
CARRARO,smallcap,0,indices,n/a
ARIHANTSUP,smallcap,1154.13,construction,realty
AMNPLST,smallcap,1113.93,chemicals,chemicals
ENERGYDEV,smallcap,76.29,power generation and supply,power & utilities
INDNIPPON,smallcap,2026.2,auto ancillaries,auto
SUDARCOLOR,smallcap,835.56,dyes and pigments,chemicals
GEOJITFSL,smallcap,2013.87,finance & investments,financials
LAXMIDENTL,smallcap,1302.16,healthcare,healthcare
