symbol,marketcapname,market_cap,industry,sector,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses
ASAL,smallcap,843.51,auto ancillaries,auto,True,,5.0,180.0,38.16261860046384,29.42181791724552,4.0,2.0,2.0,50.0,31.511560538252837,1.9035694799856007,15.755780269126419,0.9517847399928003,30.150136273796836,1.2183071223658026,16.55393242514647,7.40199776456681,12.247692349636434,-1.045703484526761,11.712395082224667,0.5827200455478879,0.8900870116426673,8.458947997299237,199.02414279296553,15.422201091793287,29.42181791724552,13.999616825452232,13.5,39.0,0.0,2.0,2.0
KIRANVYPAR,smallcap,432.73,finance & investments,financials,True,,5.0,140.0,14.020290940350371,3.658536585365857,1.0,1.0,0.0,100.0,3.658536585365857,0.0,3.658536585365857,0.0,3.658536585365857,0.0,,3.658536585365857,4.274386894412152,0.0,,0.6907836236656343,0.2126036786225615,1.7484301095954224,33.017161076632576,-12.82051282051282,3.658536585365857,16.479049405878676,0.0,0.0,0.0,1.0,0.0
MARALOVER,smallcap,239.5,textiles - cotton/blended,textiles,True,,45.0,200.0,50.00008468280784,41.8367377939657,1.0,1.0,0.0,100.0,41.8367377939657,0.0,41.8367377939657,0.0,41.8367377939657,0.0,,41.8367377939657,55.89845424062745,-0.6470934152705277,86.38390210980313,0.544223125922809,0.6719123787513408,16.826310693210377,341.2257737846848,36.37233890868807,41.8367377939657,5.464398885277632,59.0,59.0,59.0,1.0,0.0
EXCELSOFT,smallcap,1019.99,computers - software - medium / small,i.t,True,,40.0,110.0,24.55598165549634,18.337505702683664,4.0,2.0,2.0,50.0,25.635042641308026,5.955659161641803,12.817521320654013,2.9778295808209014,25.253615706583776,4.148166094551609,4.30431660804464,4.919845869916555,11.565175345294737,-2.1267950055900515,5.437842065124715,0.4145650635208449,0.35579275347644346,10.840790364528875,104.436144459028,4.501222281025696,18.337505702683664,13.836283421657967,11.0,32.0,0.0,1.0,1.0
ENIFTY,smallcap,0.0,indices,indices,True,,25.0,150.0,1.108549643852089,0.41240723121314105,4.0,1.0,3.0,25.0,3.6876373518619054,3.1924107015331993,3.6876373518619054,1.0641369005110664,3.6876373518619054,1.1963655565881748,1.155126234256409,0.12380666258217654,2.389671919699266,-0.7981026753832998,2.9941910902022637,0.04640949417592987,0.04986023454075477,6.067127946308815,1.763295745726512,-3.9770370546469813,0.41240723121314105,4.389444285860122,9.0,23.0,1.0,1.0,3.0
NAGREEKEXP,smallcap,85.53,textiles - cotton/blended,textiles,True,,30.0,50.0,34.94833121870241,28.070557143338306,5.0,2.0,3.0,40.0,43.680736590668246,11.976463047740793,21.840368295334123,3.992154349246931,41.09452772198334,5.347396600922927,3.6472150764835414,6.340854708585491,13.814707868515356,-3.486276455834698,3.962596782993156,0.45851827169094034,0.46879160880497456,15.79266362007916,185.98757646093284,12.124999364217114,28.070557143338306,15.945557779121192,7.6,22.0,0.0,1.0,2.0
KRSNAA,smallcap,1766.93,healthcare,healthcare,True,,25.0,140.0,14.62678516531016,8.118700330548666,3.0,2.0,1.0,66.66666666666666,8.113303871762811,0.04199916001680348,4.056651935881406,0.04199916001680348,7.4291845918250665,0.04199916001680348,193.17776518665497,2.6904349039153357,5.5729204675414605,-0.12207783080622203,45.65055285416671,0.4338723223174329,0.3297254666461969,4.897987898981548,39.309239462663534,-11.241551101827907,8.118700330548666,19.36025143237657,7.0,16.0,0.0,1.0,1.0
CHEMPLASTS,smallcap,3391.77,chemicals,chemicals,True,,5.0,10.0,-14.2851508441978,-10.811389905343782,55.0,14.0,41.0,25.454545454545453,33.8008049161691,44.05728292778392,2.4143432082977934,1.074567876287413,6.911156634096494,4.143130982010145,0.7672013040743654,-0.1864814183929968,1.477683969762596,-0.8797994066646391,1.6795691819849772,-0.2315840625902678,-0.21598763347457267,18.480956316498553,-38.48806593860337,-21.033366506047425,-10.811389905343782,10.221976600703643,0.6,4.0,0.0,3.0,10.0
SILINV,smallcap,451.97,finance & investments,financials,True,,20.0,180.0,18.186799078310557,13.229234780020294,1.0,1.0,0.0,100.0,13.229234780020294,0.0,13.229234780020294,0.0,13.229234780020294,0.0,,13.229234780020294,23.297938788257344,-1.311680199875076,17.761904761904795,0.33050428655268416,0.3566067236454366,8.510638297872353,69.49897487681098,1.7928077068655623,13.229234780020294,11.436427073154732,41.0,41.0,41.0,1.0,0.0
KITEX,smallcap,3209.76,textiles - products,consumer discretionary,True,,50.0,80.0,9.37033996427667,6.225485228697103,5.0,4.0,1.0,80.0,12.042175325689232,5.48959703534978,3.010543831422307,5.48959703534978,8.355210223300592,5.48959703534978,2.1936355707249,1.31051565806789,4.537651468959592,-1.9471718128300508,2.3303806264350637,0.2096569823719711,0.21090938866227588,7.480377677371708,29.239666585530124,-4.2969646071718826,6.225485228697103,10.522449835868986,8.6,21.0,1.0,4.0,1.0
