symbol,marketcapname,market_cap,industry,sector,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses
ACCURACY,smallcap,85.67,miscellaneous,transportation,True,,10.0,60.0,566.1808497009747,553.5900820805891,15.0,6.0,9.0,40.0,603.0560164502505,83.83685955741669,100.50933607504174,9.315206617490743,457.9386834922789,15.215682983398438,7.19320856761387,34.614610459522254,58.34680469504394,-9.050421694074139,6.446860341684094,0.8393845080257025,0.9838117174455312,58.398958585104154,26.766934979532266,-35.422593189676086,553.5900820805891,589.0126752702652,73.93333333333334,410.0,12.0,2.0,4.0
HISARMETAL,smallcap,77.3,steel - medium / small,metals & mining,True,,45.0,90.0,157.18582084508267,150.64125601143047,12.0,3.0,9.0,25.0,253.49866978737123,70.25084863101229,84.4995565957904,7.805649847890255,144.79551101759697,25.676940324440935,3.6084783988711,15.270651763029907,47.20850735810492,-11.770070575661917,4.010894161987643,0.43630432224347954,0.6398904299745133,51.622497167491986,10.254159194537449,474.5241273330735,150.64125601143047,-323.88287132164305,147.0,482.0,29.0,1.0,4.0
GINNIFILA,smallcap,378.57,textiles - cotton/blended,textiles,True,,15.0,170.0,4478.81923361641,4470.127803785611,22.0,15.0,7.0,68.18181818181817,803.8697336427329,87.61221607972935,53.59131557618219,12.516030868532765,344.8484940962358,28.87930815279468,9.175315607942059,32.55715988922743,97.17766227122634,-8.136149138758281,11.94393817196637,0.5794286553866347,0.7533957868239987,69.21125535041763,17.319291379958358,446.83972236080587,4470.127803785611,4023.288081424805,195.63636363636363,707.0,2.0,3.0,2.0
GOODLUCK,smallcap,4387.15,steel - medium / small,metals & mining,True,,50.0,130.0,1341.2308162623956,1327.1543244923582,11.0,7.0,4.0,63.63636363636363,844.5380110799122,45.455626813833284,120.64828729713031,11.363906703458321,705.4271773565771,30.429672714337187,18.579394241746506,72.64385311509807,114.53466095622265,-7.774150995951572,14.732754871350858,0.9384327846691571,1.1392895343098666,48.82553338724121,31.375188756353054,1126.3199432545018,1327.1543244923582,200.8343812378564,155.1818181818182,618.0,1.0,6.0,3.0
SUPREME,smallcap,182.41,construction,realty,True,,20.0,170.0,17.355869956899134,4.425524781670576,1.0,1.0,0.0,100.0,4.425524781670576,0.0,4.425524781670576,0.0,4.425524781670576,0.0,,4.425524781670576,5.996642078079506,0.0,,0.8620230116819039,0.27167151089205743,2.2063781498553703,3.3011127773625137,-47.27498894065636,4.425524781670576,51.70051372232693,22.0,22.0,22.0,1.0,0.0
DISAQ,smallcap,1685.86,engineering,industrials,False,insufficient_rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTEXT,smallcap,154.72,aluminium and aluminium products,metals & mining,True,,45.0,200.0,4074.505273914927,4066.9557126786094,16.0,9.0,7.0,56.25,650.4060508559231,71.14889774071935,72.26733898399146,10.164128248674192,132.60869632821905,24.000010728554333,9.141477542296318,36.20357206970024,156.84175406490806,-15.447405676517821,10.153274753658414,0.5033040824211659,0.7623073846619045,81.05572985723562,16.867359577951802,1748.5309006338612,4066.9557126786094,2318.4248120447483,273.1875,725.0,13.0,4.0,2.0
KHAITANLTD,smallcap,62.13,trading,services,True,,10.0,50.0,2459.228462090457,2451.274447015069,72.0,26.0,46.0,36.11111111111111,1021.5548829870304,386.020891089899,39.290572422578094,8.391758501954325,193.2432357794454,34.412954402631556,2.646372013967307,8.826860998571268,32.520544705613375,-7.305044622485282,4.451792752300727,0.5302676716925206,0.480323016324856,71.67284813789207,14.497493344114144,1152.4761381603423,2451.274447015069,1298.7983088547269,54.763888888888886,291.0,1.0,3.0,8.0
WHEELS,smallcap,3708.69,auto ancillaries,auto,True,,50.0,190.0,9981.333706659101,9971.58212230712,15.0,10.0,5.0,66.66666666666666,768.7857267948492,57.37767078873591,76.87857267948492,11.475534157747184,180.0161316237721,15.13234135833369,13.398691794679355,47.427203733740875,101.71377747798442,-9.418960788485084,10.798832245095666,0.6501056234654145,0.88082895464558,69.50094158389875,21.258080861649063,8792.955271235836,9971.58212230712,1178.6268510712835,340.06666666666666,654.0,73.0,4.0,2.0
ORISSAMINE,smallcap,2439.96,mining / minerals / metals,metals & mining,True,,50.0,140.0,148.30424317052862,143.282642246023,16.0,7.0,9.0,43.75,267.6113365143989,106.14280544665358,38.23019093062841,11.793645049628175,84.95356613039952,24.716136807391564,2.521238584078107,10.091783191734082,43.976002511900056,-10.601097058829243,4.148250154475678,0.33477339496704256,0.42098995029901765,64.71658694104103,5.832888827075089,22.703875260361084,143.282642246023,120.5787669856619,154.125,461.0,6.0,3.0,4.0
STERTOOLS,smallcap,842.1,fasteners,industrials,True,,40.0,130.0,3019.124141803569,3009.3538474456514,22.0,9.0,13.0,40.909090909090914,1001.7255843167345,156.0882345792229,111.3028427018594,12.006787275324836,322.75404735079513,30.866127841306557,6.417687963587714,38.43806135170508,69.00634939020769,-11.225310543645824,6.147388896004243,0.6513529571944965,0.814969511965282,59.05537894284711,18.41252818403658,1090.8176414752008,3009.3538474456514,1918.5362059704505,177.22727272727272,797.0,1.0,3.0,3.0
LAGNAM,smallcap,141.88,textiles - products,textiles,True,,25.0,180.0,1307.213804448831,1289.9182284879105,6.0,3.0,3.0,50.0,829.1552378472533,17.693652173008633,276.38507928241773,5.897884057669544,729.5900316466035,9.607282297361975,46.86173491711991,135.2435976123741,214.02976118969323,-4.1534004526967685,51.53121246729905,1.1530383973947105,1.3203796093757678,41.00220841607262,40.9436892301807,265.7172045971342,1289.9182284879105,1024.2010238907762,173.16666666666666,563.0,3.0,3.0,2.0
AKG,smallcap,35.78,trading,services,True,,10.0,70.0,226.95618863461453,217.93759391554008,20.0,6.0,14.0,30.0,257.0945051363615,75.7077730107638,42.84908418939358,5.407698072197413,108.01563895673824,16.766920781430684,3.395879906542871,9.069336606279883,34.13745595813934,-6.100470791447838,5.595872372013672,0.6012396479382972,0.6094229998201429,69.74447622116512,16.31773303953281,20.900131015442703,217.93759391554008,197.03746290009738,57.85,210.0,2.0,5.0,9.0
DHAMPURSUG,smallcap,892.9,sugar,fmcg,True,,10.0,30.0,60382.60674356483,60369.40270550497,108.0,54.0,54.0,50.0,1410.5097950594836,435.3648187507106,26.12055176036081,8.062311458346493,205.83164704890805,19.803908891932753,3.239834121431709,9.02912015100716,23.210544991266122,-5.436349024630924,4.269509718030273,0.8802692039907797,1.2037904661719403,52.33932111208567,30.68992074357091,1162.878703943388,60369.40270550497,59206.52400156158,39.388888888888886,123.0,1.0,8.0,7.0
JNKINDIA,smallcap,2022.17,engineering - turnkey services,realty,True,,30.0,70.0,95.59835352611447,77.46559255571886,2.0,1.0,1.0,50.0,87.3277008566226,5.26462891275864,87.3277008566226,5.26462891275864,87.3277008566226,5.26462891275864,16.587627030081272,41.03153597193198,46.698009960946536,-6.128970745685952,7.6192254619287,1.2088507313597074,1.1153301496816908,16.48889235410771,31.457245407899336,-39.25672555213487,77.46559255571886,116.72231810785372,66.0,92.0,40.0,1.0,1.0
KSHITIJPOL,smallcap,80.05,printing & stationery,miscellaneous,True,,35.0,80.0,870.4425209249639,855.1023248883743,12.0,5.0,7.0,41.66666666666667,522.3968900325692,69.37686430739137,104.47937800651384,9.910980615341625,287.2126525176659,19.27537296363272,7.529842913020117,37.7516688104315,107.16725678991138,-10.207899515111446,10.49846313938185,1.0226797357726445,0.88538914012728,72.6003766142686,34.48417448329053,4.561442665497273,855.1023248883743,850.540882222877,79.0,167.0,14.0,2.0,3.0
COCKERILL,smallcap,3749.53,engineering,industrials,False,insufficient_rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
